"BehaviorSpace results (NetLogo 5.0.5)"
"./Threads/SimAnn.nlogo"
"annealing-userview"
"05/06/2014 16:48:19:779 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","forumid","mode","startPercent","endPercent","[step]","lastAcceptedDistance","USERVIEWGEOMETRICVALUEP","newThreadProb","filterShowAll","filterShowWithNoReply","filterShowHasReply"
"118","276","""userview""","0","50","0","0.13266276582727513","0.18","0.29","1","0","0"
"119","276","""userview""","0","50","0","0.1303658280833759","0.32","0.29","1","0","0"
"120","276","""userview""","0","50","0","0.13077057684646504","0.83","0.29","1","0","0"
"121","327","""userview""","0","50","0","0.18159588025200554","0.73","0.23","1","0","0"
"122","327","""userview""","0","50","0","0.18301063263770884","0.62","0.23","1","0","0"
"123","327","""userview""","0","50","0","0.18275492131702994","0.77","0.23","1","0","0"
"124","327","""userview""","0","50","0","0.1821176635099553","0.24","0.23","1","0","0"
"125","327","""userview""","0","50","0","0.18309012791894358","0.27","0.23","1","0","0"
"127","145","""userview""","0","50","0","0.12816319914315413","0.48","0.24","1","0","0"
"126","145","""userview""","0","50","0","0.12733409777859822","0.29","0.24","1","0","0"
"128","145","""userview""","0","50","0","0.1278305546630494","0.99","0.24","1","0","0"
"129","145","""userview""","0","50","0","0.12730824269517754","0.61","0.24","1","0","0"
"130","145","""userview""","0","50","0","0.12680909437267882","0.84","0.24","1","0","0"
"132","267","""userview""","0","50","0","0.12751913637316248","0.99","0.22","1","0","0"
"131","267","""userview""","0","50","0","0.12646885023349716","0.87","0.22","1","0","0"
"133","267","""userview""","0","50","0","0.12752001071912583","0.95","0.22","1","0","0"
"135","267","""userview""","0","50","0","0.12826170858908575","0.93","0.22","1","0","0"
"134","267","""userview""","0","50","0","0.12956583210810008","0.04","0.22","1","0","0"
"137","353","""userview""","0","50","0","0.15998204421438839","0.2","0.2","1","0","0"
"136","353","""userview""","0","50","0","0.15964231141023472","0.46","0.2","1","0","0"
"138","353","""userview""","0","50","0","0.1603442902076771","0.68","0.2","1","0","0"
"139","353","""userview""","0","50","0","0.15807746469783684","0.42","0.2","1","0","0"
"140","353","""userview""","0","50","0","0.1602159503885448","0.57","0.2","1","0","0"
"141","324","""userview""","0","50","0","0.18280621975311584","0.3","0.26","1","0","0"
"142","324","""userview""","0","50","0","0.18209871073139877","0.23","0.26","1","0","0"
"143","324","""userview""","0","50","0","0.18134853456287647","0.12","0.26","1","0","0"
"145","324","""userview""","0","50","0","0.18161949436635985","0.62","0.26","1","0","0"
"144","324","""userview""","0","50","0","0.18188997830522696","0.11","0.26","1","0","0"
"147","159","""userview""","0","50","0","0.1604212184484659","0.5","0.2","1","0","0"
"146","159","""userview""","0","50","0","0.16092959515221503","0.41","0.2","1","0","0"
"148","159","""userview""","0","50","0","0.16051411581672742","0.29","0.2","1","0","0"
"149","159","""userview""","0","50","0","0.16163924840274174","0.89","0.2","1","0","0"
"150","159","""userview""","0","50","0","0.1591072844902291","0.93","0.2","1","0","0"
"151","328","""userview""","0","50","0","0.14619402623635125","0.55","0.25","1","0","0"
"152","328","""userview""","0","50","0","0.14659651851263217","0.55","0.25","1","0","0"
"153","328","""userview""","0","50","0","0.14520915700087306","0.08","0.25","1","0","0"
"154","328","""userview""","0","50","0","0.14646913238409653","0.5","0.25","1","0","0"
"155","328","""userview""","0","50","0","0.14791895684303805","0.03","0.25","1","0","0"
"156","284","""userview""","0","50","0","0.15532238955273137","0.82","0.23","1","0","0"
"157","284","""userview""","0","50","0","0.15439244870612698","0.94","0.23","1","0","0"
"158","284","""userview""","0","50","0","0.15549288468562666","0.41","0.23","1","0","0"
"159","284","""userview""","0","50","0","0.1552801117160923","0.08","0.23","1","0","0"
"160","284","""userview""","0","50","0","0.15543675010233746","0.9","0.23","1","0","0"
"161","239","""userview""","0","50","0","0.1793293701094476","0.63","0.25","1","0","0"
"162","239","""userview""","0","50","0","0.1791499031100261","0.9","0.25","1","0","0"
"163","239","""userview""","0","50","0","0.17825710422828203","0.16","0.25","1","0","0"
"164","239","""userview""","0","50","0","0.180877519518916","0.8","0.25","1","0","0"
"165","239","""userview""","0","50","0","0.18017605074237403","0.52","0.25","1","0","0"
"166","50","""userview""","0","50","0","0.07065182744180931","0.83","0.24","1","0","0"
"167","50","""userview""","0","50","0","0.0719561237630236","0.08","0.24","1","0","0"
"168","50","""userview""","0","50","0","0.0718761311149129","0.23","0.24","1","0","0"
"169","50","""userview""","0","50","0","0.0732536594774636","0.03","0.24","1","0","0"
"170","50","""userview""","0","50","0","0.07160024518062023","0.96","0.24","1","0","0"
"171","140","""userview""","0","50","0","0.06314305683898465","0.23","0.33","1","0","0"
"172","140","""userview""","0","50","0","0.06308647324727473","0.19","0.33","1","0","0"
"173","140","""userview""","0","50","0","0.06250159947962373","0.59","0.33","1","0","0"
"174","140","""userview""","0","50","0","0.062361381021053354","0.86","0.33","1","0","0"
"175","140","""userview""","0","50","0","0.06243799268657439","0.42","0.33","1","0","0"
"176","156","""userview""","0","50","0","0.09249778887334639","0.2","0.26","1","0","0"
"177","156","""userview""","0","50","0","0.09304180806096843","0.12","0.26","1","0","0"
"178","156","""userview""","0","50","0","0.09405602380008307","0.2","0.26","1","0","0"
"179","156","""userview""","0","50","0","0.09342075223847007","0.27","0.26","1","0","0"
"180","156","""userview""","0","50","0","0.09408094411646863","0.71","0.26","1","0","0"
"181","323","""userview""","0","50","0","0.17392798309819327","0.26","0.27","1","0","0"
"182","323","""userview""","0","50","0","0.1737154187804675","0.18","0.27","1","0","0"
"183","323","""userview""","0","50","0","0.17402943872361284","0.99","0.27","1","0","0"
"184","323","""userview""","0","50","0","0.1734970843106209","0.58","0.27","1","0","0"
"185","323","""userview""","0","50","0","0.17397490138466978","0.64","0.27","1","0","0"
"186","141","""userview""","0","50","0","0.12378981075231402","0.78","0.27","1","0","0"
"187","141","""userview""","0","50","0","0.1230136564103069","0.45","0.27","1","0","0"
"189","141","""userview""","0","50","0","0.12411133847629405","0.4","0.27","1","0","0"
"188","141","""userview""","0","50","0","0.12381514497562345","0.05","0.27","1","0","0"
"190","141","""userview""","0","50","0","0.12221098198029887","0.26","0.27","1","0","0"
"191","264","""userview""","0","50","0","0.19173680399210336","0.29","0.21","1","0","0"
"192","264","""userview""","0","50","0","0.19127314780336097","0.97","0.21","1","0","0"
"193","264","""userview""","0","50","0","0.19173701995772383","0.59","0.21","1","0","0"
"194","264","""userview""","0","50","0","0.19184922744413707","0.73","0.21","1","0","0"
"195","264","""userview""","0","50","0","0.19116322693069787","0.54","0.21","1","0","0"
"196","56","""userview""","0","50","0","0.19851890178705328","0.4","0.23","1","0","0"
"197","56","""userview""","0","50","0","0.19764964756377165","0.33","0.23","1","0","0"
"200","56","""userview""","0","50","0","0.1985529498093746","0.39","0.23","1","0","0"
"199","56","""userview""","0","50","0","0.19799288873264648","0.15","0.23","1","0","0"
"198","56","""userview""","0","50","0","0.1987378144113145","0.07","0.23","1","0","0"
"201","143","""userview""","0","50","0","0.13227417638896538","0.58","0.24","1","0","0"
"202","143","""userview""","0","50","0","0.1320696746017961","0.25","0.24","1","0","0"
"203","143","""userview""","0","50","0","0.13262171328158098","0.99","0.24","1","0","0"
"204","143","""userview""","0","50","0","0.13197967018841905","0.78","0.24","1","0","0"
"205","143","""userview""","0","50","0","0.13247340784930503","0.19","0.24","1","0","0"
"207","246","""userview""","0","50","0","0.15043268782250965","0.24","0.22","1","0","0"
"206","246","""userview""","0","50","0","0.15029652484956374","0.34","0.22","1","0","0"
"209","246","""userview""","0","50","0","0.15006240255993455","0.63","0.22","1","0","0"
"208","246","""userview""","0","50","0","0.1494339032482659","0.26","0.22","1","0","0"
"210","246","""userview""","0","50","0","0.15032722351106548","0.7","0.22","1","0","0"
"211","245","""userview""","0","50","0","0.15269452366388162","0.96","0.23","1","0","0"
"212","245","""userview""","0","50","0","0.1535168433115391","0.57","0.23","1","0","0"
"213","245","""userview""","0","50","0","0.1537092806058665","0.25","0.23","1","0","0"
"214","245","""userview""","0","50","0","0.15287342795413386","0.75","0.23","1","0","0"
"215","245","""userview""","0","50","0","0.1524788154591917","0.64","0.23","1","0","0"
"216","142","""userview""","0","50","0","0.11081206318999415","0.98","0.23","1","0","0"
"217","142","""userview""","0","50","0","0.11011536767959865","0.57","0.23","1","0","0"
"218","142","""userview""","0","50","0","0.11064286746590386","0.74","0.23","1","0","0"
"219","142","""userview""","0","50","0","0.11050388732546228","0.66","0.23","1","0","0"
"220","142","""userview""","0","50","0","0.11102512399840359","0.81","0.23","1","0","0"
"221","144","""userview""","0","50","0","0.1722905592602291","0.27","0.2","1","0","0"
"222","144","""userview""","0","50","0","0.17215723598730837","0.3","0.2","1","0","0"
"223","144","""userview""","0","50","0","0.17172414758806248","0.35","0.2","1","0","0"
"225","144","""userview""","0","50","0","0.1726085892123515","0.25","0.2","1","0","0"
"224","144","""userview""","0","50","0","0.17206598516865532","0.24","0.2","1","0","0"
